lau1_kod,nazev,kraj_nuts3,nuts2
CZ0100,Hlavní město Praha,CZ010,CZ01
CZ0201,Benešov,CZ020,CZ02
CZ0202,Beroun,CZ020,CZ02
CZ0203,Kladno,CZ020,CZ02
CZ0204,Kolín,CZ020,CZ02
CZ0205,Kutná Hora,CZ020,CZ02
CZ0206,Mělník,CZ020,CZ02
CZ0207,Mladá Boleslav,CZ020,CZ02
CZ0208,Nymburk,CZ020,CZ02
CZ0209,Praha-východ,CZ020,CZ02
CZ020A,Praha-západ,CZ020,CZ02
CZ020B,Příbram,CZ020,CZ02
CZ020C,Rakovník,CZ020,CZ02
CZ0311,České Budějovice,CZ031,CZ03
CZ0312,Český Krumlov,CZ031,CZ03
CZ0313,Jindřichův Hradec,CZ031,CZ03
CZ0314,Písek,CZ031,CZ03
CZ0315,Prachatice,CZ031,CZ03
CZ0316,Strakonice,CZ031,CZ03
CZ0317,Tábor,CZ031,CZ03
CZ0321,Domažlice,CZ032,CZ03
CZ0322,Klatovy,CZ032,CZ03
CZ0323,Plzeň-město,CZ032,CZ03
CZ0324,Plzeň-jih,CZ032,CZ03
CZ0325,Plzeň-sever,CZ032,CZ03
CZ0326,Rokycany,CZ032,CZ03
CZ0327,Tachov,CZ032,CZ03
CZ0411,Cheb,CZ041,CZ04
CZ0412,Karlovy Vary,CZ041,CZ04
CZ0413,Sokolov,CZ041,CZ04
CZ0421,Děčín,CZ042,CZ04
CZ0422,Chomutov,CZ042,CZ04
CZ0423,Litoměřice,CZ042,CZ04
CZ0424,Louny,CZ042,CZ04
CZ0425,Most,CZ042,CZ04
CZ0426,Teplice,CZ042,CZ04
CZ0427,Ústí nad Labem,CZ042,CZ04
CZ0511,Česká Lípa,CZ051,CZ05
CZ0512,Jablonec nad Nisou,CZ051,CZ05
CZ0513,Liberec,CZ051,CZ05
CZ0514,Semily,CZ051,CZ05
CZ0521,Hradec Králové,CZ052,CZ05
CZ0522,Jičín,CZ052,CZ05
CZ0523,Náchod,CZ052,CZ05
CZ0524,Rychnov nad Kněžnou,CZ052,CZ05
CZ0525,Trutnov,CZ052,CZ05
CZ0531,Chrudim,CZ053,CZ05
CZ0532,Pardubice,CZ053,CZ05
CZ0533,Svitavy,CZ053,CZ05
CZ0534,Ústí nad Orlicí,CZ053,CZ05
CZ0631,Havlíčkův Brod,CZ063,CZ06
CZ0632,Jihlava,CZ063,CZ06
CZ0633,Pelhřimov,CZ063,CZ06
CZ0634,Třebíč,CZ063,CZ06
CZ0635,Žďár nad Sázavou,CZ063,CZ06
CZ0641,Blansko,CZ064,CZ06
CZ0642,Brno-město,CZ064,CZ06
CZ0643,Brno-venkov,CZ064,CZ06
CZ0644,Břeclav,CZ064,CZ06
CZ0645,Hodonín,CZ064,CZ06
CZ0646,Vyškov,CZ064,CZ06
CZ0647,Znojmo,CZ064,CZ06
CZ0711,Jeseník,CZ071,CZ07
CZ0712,Olomouc,CZ071,CZ07
CZ0713,Prostějov,CZ071,CZ07
CZ0714,Přerov,CZ071,CZ07
CZ0715,Šumperk,CZ071,CZ07
CZ0721,Kroměříž,CZ072,CZ07
CZ0722,Uherské Hradiště,CZ072,CZ07
CZ0723,Vsetín,CZ072,CZ07
CZ0724,Zlín,CZ072,CZ07
CZ0801,Bruntál,CZ080,CZ08
CZ0802,Frýdek-Místek,CZ080,CZ08
CZ0803,Karviná,CZ080,CZ08
CZ0804,Nový Jičín,CZ080,CZ08
CZ0805,Opava,CZ080,CZ08
CZ0806,Ostrava-město,CZ080,CZ08
